"","population","het","het_hwe"
"1","CA.c","6.88e-04 (2.39e-04, 2.85e-03)","2.81e-02 (1.20e-02, 6.06e-02)"
"2","CA.m","6.80e-04 (2.31e-04, 2.66e-03)","2.85e-02 (1.11e-02, 7.88e-02)"
"3","CA.s","1.29e-03 (2.22e-04, 3.36e-03)","4.66e-02 (1.33e-02, 9.81e-02)"
"4","OR.m","1.33e-03 (3.42e-04, 3.52e-03)","4.31e-02 (1.73e-02, 1.16e-01)"
"5","OR.s","8.72e-04 (2.24e-04, 3.28e-03)","3.36e-02 (1.38e-02, 1.23e-01)"
"6","WA.m","1.21e-03 (1.48e-04, 3.07e-03)","3.20e-02 (9.82e-03, 7.39e-02)"
"7","WA.s","8.56e-04 (3.08e-04, 2.85e-03)","3.06e-02 (1.49e-02, 5.46e-02)"
"8","MT.m","1.09e-03 (2.32e-04, 3.42e-03)","3.37e-02 (1.50e-02, 9.75e-02)"
"9","MT.s","5.43e-04 (2.49e-04, 1.63e-03)","2.47e-02 (1.54e-02, 4.91e-02)"
"10","global","8.86e-04 (2.09e-04, 3.37e-03)","3.21e-02 (1.20e-02, 1.00e-01)"
